id,taste_cluster,taste_center_distance
18537,6,0.9366823
104243,11,0.7705723
105069,9,0.78858715
70099,7,0.8531757
333281,3,0.9321899
234069,13,1.000012
37841,7,0.7369295
144952,5,0.7787433
453467,3,0.85122794
31835,13,0.90538317
197013,15,0.8955467
306168,7,0.93400073
286009,3,0.82622576
24514,2,0.99271846
42508,2,0.9234078
116679,10,0.7756759
124286,0,0.8499697
190,4,0.9174711
475785,1,0.9161482
17265,12,0.7884099
50662,0,0.8660249
177187,3,0.7389836
118843,3,0.78625554
208179,0,0.8423687
500166,2,0.9290362
501028,2,0.92330164
136602,3,0.881631
69190,0,0.92239785
503475,6,0.72811615
522861,0,0.8487264
457136,2,0.9516926
455351,9,0.80325073
333797,4,0.73889124
428056,15,0.807548
306245,4,0.87704945
523359,2,0.9517782
495314,2,0.966029
149593,3,0.661631
227924,13,0.8294326
100540,13,0.8471215
155959,1,0.89534575
29214,5,0.9293642
92533,6,0.80969465
209203,13,0.9533084
42151,11,0.7624356
327356,4,0.84792954
325509,4,0.58667827
236184,10,0.81735665
241445,2,0.90499157
149887,6,0.87951005
112984,9,0.7624542
200148,4,0.94608444
445026,2,0.9194849
70611,9,0.8410375
273326,5,0.840329
310570,0,0.800129
318677,7,0.7002532
80050,3,0.89579177
269984,15,0.9203831
317508,2,0.97847706
53872,1,0.9107562
268942,2,0.937165
176110,15,0.9119005
205331,2,0.9645375
165856,2,1.0047468
474769,2,0.9603521
138005,0,0.89048326
216945,4,0.5761755
164526,2,0.96031904
50184,4,0.9767721
316470,8,0.5529926
343338,9,0.7161549
137434,2,0.9245816
95534,2,0.9284701
30473,14,0.7500179
24470,2,1.0018209
311991,2,0.9325265
225707,7,0.8388129
242830,1,0.910941
336744,2,0.97460896
83542,3,0.8163083
91626,2,0.95169914
303457,7,0.91192776
176717,10,0.9073665
39226,4,0.93431264
216030,3,0.7857318
268169,15,0.837671
98357,2,0.9309018
150365,15,0.7907281
243251,1,0.92303187
20186,2,0.9956617
109818,13,0.9890664
243785,2,0.98875195
207525,2,0.97258484
226246,0,0.7654747
353044,14,0.76604253
263781,2,0.9891602
66932,7,0.83367634
48131,13,1.0119141
32363,13,0.96112615
293225,3,0.9349261
235173,1,0.837714
226001,4,0.8301116
220186,0,0.94468474
217201,2,0.94698364
194665,0,0.89149034
269909,6,0.7601267
259693,4,0.86403245
161370,6,0.906526
152261,8,0.40702605
152259,8,0.5758629
303460,7,0.8654139
270259,3,0.7736059
345123,11,0.85725707
125195,11,0.7233298
141939,2,0.9317282
171442,6,0.8729789
212188,15,0.8505214
262208,9,0.8856841
207857,2,1.0205312
221049,7,0.8972245
221116,10,0.5201523
130819,13,0.82140106
20223,12,0.8628075
190108,1,0.8711977
158372,2,0.974599
219681,1,0.8868265
261215,6,0.78105193
179640,13,0.8199005
250883,10,0.7903977
140855,2,0.90929943
120297,1,0.8002016
130492,3,0.86860466
164634,7,0.6998237
293836,4,0.9130913
169586,9,0.87578124
261296,15,0.86772776
101115,2,0.9461585
271594,15,0.80296355
164291,2,0.961837
251528,5,0.99894744
250833,2,0.9903239
343448,2,0.95649827
39893,11,0.8433898
147477,2,0.9775294
223349,1,0.8918959
86768,13,0.93822426
197001,13,0.97161925
60938,2,0.9449622
228491,5,0.81296635
451515,2,1.0024525
353171,0,0.64152986
354039,12,0.8257068
302399,1,0.9318123
195736,0,0.7450583
365946,10,0.84957343
221544,14,0.4974122
175306,8,0.81133384
211833,4,0.71257055
276567,2,0.94097364
232044,8,0.8425441
244840,15,0.86685616
342620,2,0.9490575
165270,15,0.85956836
9999,9,0.86024773
423875,8,0.917496
275675,15,0.7968325
356803,9,0.925785
296983,1,0.7106584
111462,2,0.92415786
242831,11,0.81232643
151143,9,0.8657654
185799,10,0.85106635
166089,7,0.8515682
310082,15,0.81929827
70005,9,0.8250601
129581,4,0.87408113
116741,11,0.8229285
143750,2,0.96207774
257409,11,0.85606575
154426,10,0.51700705
255916,2,0.9439832
325714,12,0.7954844
163238,0,0.78777754
274988,15,0.81238806
347252,2,0.9611078
47037,11,0.872604
130815,6,0.7953995
251021,8,0.94163656
25538,9,0.8471368
276594,7,0.8570012
54837,7,0.6738707
32378,11,0.60507256
259784,3,0.8728318
16391,6,0.7219777
196264,1,0.8875867
251032,13,0.94182694
429524,8,0.5582939
146,6,0.86697423
315537,2,0.9764111
487173,2,0.9734198
341118,4,0.8868587
77206,5,0.8477414
157487,11,0.84892386
289671,8,0.66537213
356884,0,0.78999853
168590,10,0.7531721
44050,10,0.7437303
166328,15,0.81087494
242,0,0.7087876
124853,12,0.5897304
160077,0,0.89193654
161843,10,0.7646025
447429,2,0.9103969
202009,13,0.93000776
372665,6,0.82231885
55681,14,0.8152442
230240,2,0.99221396
137701,5,0.8295576
467795,7,0.9122328
289133,5,0.8204098
28951,8,0.66270405
513531,1,0.9241744
511799,15,0.88142794
292568,3,0.85958767
435497,4,0.90196407
392158,2,0.9330403
167554,1,0.88393825
505132,8,0.9446798
399278,4,0.97541845
535020,2,0.98257834
165110,11,0.7625525
27200,15,0.8984537
262576,0,0.8083307
357497,3,0.8219123
201697,2,1.0186818
363009,14,0.53211474
113150,15,0.7076507
81635,11,0.82533705
279052,10,0.9296872
240622,2,0.9906355
142984,7,0.749301
299989,2,0.91177666
165385,10,0.5957859
285606,8,0.80393094
204270,2,0.95049673
117116,13,0.8508156
