id,rating_mean,rating_count,bayesian_rating
221376,5.0,1,4.693709782124865
221379,5.0,4,4.846854891062432
221382,4.0,1,4.3603764487915315
221384,4.5,2,4.520282336593649
221385,4.5,2,4.520282336593649
221386,3.7142857142857144,7,3.897903260708288
221387,5.0,1,4.693709782124865
221388,5.0,2,4.770282336593649
221390,3.5,2,4.020282336593649
221395,5.0,1,4.693709782124865
221397,2.0,1,3.6937097821248646
221398,5.0,3,4.816225869274919
221403,4.714285714285714,7,4.675681038486066
221404,4.0,1,4.3603764487915315
221405,5.0,1,4.693709782124865
221406,4.0,1,4.3603764487915315
221407,4.444444444444445,9,4.461920849670418
221408,3.0,1,4.027043115458198
221410,4.666666666666667,6,4.635141168296824
221415,5.0,6,4.885141168296824
221417,4.0,1,4.3603764487915315
221426,4.666666666666667,3,4.616225869274919
221428,4.333333333333333,3,4.4162258692749194
221439,4.0,3,4.216225869274919
221445,5.0,1,4.693709782124865
221446,5.0,2,4.770282336593649
221447,5.0,1,4.693709782124865
221448,4.7,10,4.673427445531217
221458,4.333333333333333,3,4.4162258692749194
221459,4.5,6,4.510141168296824
221460,3.5,2,4.020282336593649
221462,5.0,1,4.693709782124865
221463,4.0,1,4.3603764487915315
221465,5.0,2,4.770282336593649
221471,5.0,2,4.770282336593649
221472,5.0,2,4.770282336593649
221474,5.0,1,4.693709782124865
221478,5.0,1,4.693709782124865
221487,5.0,3,4.816225869274919
221492,5.0,10,4.923427445531217
221494,4.6,5,4.583018478053513
221495,2.0,2,3.2702823365936484
221496,4.4,5,4.440161335196371
221503,5.0,1,4.693709782124865
221507,4.0,3,4.216225869274919
221518,4.75,4,4.680188224395766
221524,4.0,1,4.3603764487915315
221525,4.5,2,4.520282336593649
221528,4.7272727272727275,11,4.698548411259584
221529,5.0,1,4.693709782124865
221532,5.0,2,4.770282336593649
221535,3.0,1,4.027043115458198
221540,3.5,2,4.020282336593649
221542,5.0,1,4.693709782124865
221543,5.0,1,4.693709782124865
221544,5.0,1,4.693709782124865
221546,5.0,3,4.816225869274919
221552,5.0,1,4.693709782124865
221557,5.0,1,4.693709782124865
221561,4.5,2,4.520282336593649
221562,3.0,1,4.027043115458198
221565,4.666666666666667,3,4.616225869274919
221567,4.5,2,4.520282336593649
221568,4.8,5,4.7258756209106565
221569,4.666666666666667,3,4.616225869274919
221570,5.0,1,4.693709782124865
221572,4.75,4,4.680188224395766
221573,4.666666666666667,3,4.616225869274919
221574,5.0,4,4.846854891062432
221576,4.75,4,4.680188224395766
221578,4.714285714285714,7,4.675681038486066
221579,5.0,2,4.770282336593649
221581,4.0,2,4.270282336593649
221582,4.555555555555555,9,4.5528299405795085
221587,3.0,2,3.7702823365936484
221588,4.0,1,4.3603764487915315
221590,5.0,2,4.770282336593649
221594,4.875,8,4.808112934637459
221595,4.5,2,4.520282336593649
221598,5.0,6,4.885141168296824
221599,5.0,1,4.693709782124865
221603,4.0,2,4.270282336593649
221605,4.0,1,4.3603764487915315
221606,5.0,1,4.693709782124865
221610,4.75,4,4.680188224395766
221611,5.0,1,4.693709782124865
221612,4.0,2,4.270282336593649
221615,3.0,1,4.027043115458198
221616,5.0,1,4.693709782124865
221621,4.0,2,4.270282336593649
221623,4.666666666666667,3,4.616225869274919
221624,4.0,1,4.3603764487915315
221625,5.0,1,4.693709782124865
221626,5.0,2,4.770282336593649
221627,5.0,2,4.770282336593649
221629,5.0,2,4.770282336593649
221633,5.0,2,4.770282336593649
221634,4.833333333333333,6,4.760141168296824
221637,4.6,5,4.583018478053513
221639,5.0,1,4.693709782124865
221640,4.363636363636363,11,4.390856103567277
221642,5.0,1,4.693709782124865
221645,5.0,1,4.693709782124865
221647,4.0,1,4.3603764487915315
